"nox"	"air_temp"
"840"	5.45083	2.9
"841"	56.40639	2.9
"842"	11.30678	2.9
"843"	12.57392	2.9
"844"	18.64648	2.9
"845"	2.76336	2.9
"846"	11.71894	2.9
"847"	7.48155	2.9
"848"	30.25226	2.9
"849"	11.70894	2.9
"850"	7.6393	2.9
"851"	8.89713	2.9
"852"	10.36924	2.9
"853"	2.86132	2.9
"854"	4.69639	2.9
"855"	17.33665	2.9
"856"	3.13264	2.9
"857"	8.61221	2.9
"858"	68.14873	2.9
"859"	30.18571	2.9
"860"	29.79339	2.9
"861"	38.72587	2.9
"862"	75.18227	2.9
"863"	5.17081	2.9
"864"	19.69118	2.9
"865"	164.25941	3
"866"	21.31414	3
"867"	22.22624	3
"868"	14.44945	3
"869"	7.83043	3
"870"	6.00926	3
"871"	3.65363	3
"872"	3.94207	3
"873"	5.10318	3
"874"	13.40306	3
"875"	4.91096	3
"876"	7.42088	3
"877"	11.19689	3
"878"	45.38625	3
"879"	6.67171	3
"880"	6.16972	3
"881"	13.41359	3
"882"	7.72201	3
"883"	29.72312	3
"884"	25.72755	3
"885"	19.6894	3
"886"	34.48268	3
"887"	19.8152	3
"888"	10.51984	3
"889"	24.3714	3
"890"	6.84586	3
"891"	54.24477	3
"892"	8.01274	3
"893"	3.91164	3
"894"	4.50581	3
"895"	5.06096	3
"896"	2.44812	3
"897"	7.36848	3
"898"	5.91483	3
"899"	13.04783	3
"900"	9.97037	3
"901"	12.34858	3
"902"	29.46224	3
"903"	34.53929	3
"904"	52.74885	3
"905"	70.59399	3
"906"	4.59295	3
"907"	3.25022	3
"908"	15.86216	3.1
"909"	18.24629	3.1
"910"	14.99407	3.1
"911"	12.06254	3.1
"912"	17.14201	3.1
"913"	12.70239	3.1
"914"	6.69176	3.1
"915"	6.3357	3.1
"916"	10.87466	3.1
"917"	12.09379	3.1
"918"	8.32426	3.1
"919"	16.38738	3.1
"920"	28.85144	3.1
"921"	34.76505	3.1
"922"	5.54561	3.1
"923"	11.75929	3.1
"924"	10.37001	3.1
"925"	4.68867	3.1
"926"	17.31509	3.1
"927"	8.35428	3.1
"928"	38.61072	3.1
"929"	14.30428	3.1
"930"	17.74139	3.1
"931"	47.06114	3.1
"932"	17.53532	3.1
"933"	14.18485	3.1
"934"	2.82322	3.1
"935"	29.93928	3.1
"936"	33.22886	3.1
"937"	11.99256	3.2
"938"	5.4765	3.2
"939"	11.13707	3.2
"940"	29.18946	3.2
"941"	19.16617	3.2
"942"	9.13312	3.2
"943"	37.79246	3.2
"944"	27.57916	3.2
"945"	25.68394	3.2
"946"	5.45845	3.2
"947"	26.05102	3.2
"948"	21.61162	3.2
"949"	13.11982	3.2
"950"	19.33339	3.2
"951"	19.33535	3.2
"952"	8.62918	3.2
"953"	16.62677	3.2
"954"	18.09798	3.2
"955"	9.40537	3.2
"956"	11.85178	3.2
"957"	6.38107	3.2
"958"	5.43984	3.2
"959"	9.62413	3.2
"960"	10.12539	3.2
"961"	31.28028	3.2
"962"	41.12054	3.2
"963"	30.39603	3.2
"964"	16.73447	3.2
"965"	11.23671	3.2
"966"	34.24755	3.2
"967"	23.36194	3.2
"968"	43.69367	3.2
"969"	31.23071	3.2
"970"	5.83127	3.2
"971"	7.68402	3.2
"972"	16.79648	3.2
"973"	4.43212	3.2
"974"	26.92573	3.2
"975"	11.51285	3.3
"976"	11.61717	3.3
"977"	7.34474	3.3
"978"	20.97811	3.3
"979"	10.19903	3.3
"980"	38.78316	3.3
"981"	21.24407	3.3
"982"	13.18907	3.3
"983"	14.19352	3.3
"984"	26.43182	3.3
"985"	25.60808	3.3
"986"	15.12531	3.3
"987"	20.50815	3.3
"988"	5.99828	3.3
"989"	2.92135	3.3
"990"	50.01348	3.3
"991"	8.03817	3.3
"992"	13.39638	3.3
"993"	4.36532	3.3
"994"	13.49509	3.3
"995"	24.07098	3.3
"996"	20.50137	3.3
"997"	17.41751	3.3
"998"	27.14233	3.3
"999"	18.10164	3.3
"1000"	78.2216	3.3
"1001"	6.81414	3.3
"1002"	27.33305	3.3
"1003"	49.3568	3.3
"1004"	20.63849	3.3
"1005"	4.0874	3.3
"1006"	18.16473	3.4
"1007"	28.89998	3.4
"1008"	4.20017	3.4
"1009"	11.8831	3.4
"1010"	13.31104	3.4
"1011"	11.51357	3.4
"1012"	10.04399	3.4
"1013"	19.04823	3.4
"1014"	10.92342	3.4
"1015"	9.99688	3.4
"1016"	17.68532	3.4
"1017"	61.7483	3.4
"1018"	15.10441	3.4
"1019"	6.30797	3.4
"1020"	13.45017	3.4
"1021"	3.90745	3.4
"1022"	2.97086	3.4
"1023"	13.58872	3.4
"1024"	7.93876	3.4
"1025"	41.87435	3.4
"1026"	3.34742	3.4
"1027"	39.54121	3.4
"1028"	8.9662	3.4
"1029"	36.27427	3.4
"1030"	32.98939	3.4
"1031"	18.50892	3.4
"1032"	28.87347	3.4
"1033"	49.00229	3.4
"1034"	20.4912	3.4
"1035"	50.68413	3.4
"1036"	9.59458	3.4
"1037"	24.7527	3.4
"1038"	18.4712	3.4
"1039"	4.0874	3.4
"1040"	101.8632	3.5
"1041"	16.41765	3.5
"1042"	15.35673	3.5
"1043"	3.58918	3.5
"1044"	10.91305	3.5
"1045"	14.62271	3.5
"1046"	10.65833	3.5
"1047"	5.31224	3.5
"1048"	14.39148	3.5
"1049"	17.84574	3.5
"1050"	6.97626	3.5
"1051"	11.00227	3.5
"1052"	9.5842	3.5
"1053"	12.47079	3.5
"1054"	9.05928	3.5
"1055"	7.54124	3.5
"1056"	42.88435	3.5
"1057"	39.68769	3.5
"1058"	12.55317	3.5
"1059"	24.60862	3.5
"1060"	3.84704	3.5
"1061"	7.41455	3.5
"1062"	108.23253	3.5
"1063"	22.9603	3.5
"1064"	10.87319	3.5
"1065"	18.49086	3.5
"1066"	17.48336	3.5
"1067"	7.13287	3.5
"1068"	4.85123	3.5
